agent,sub,episode,opponent,opp_final_rating,opp_archetype,opp_major,win,seat,steps
Ogerpon,55565273,104459384,Monica Das,443.7,(other),other,1,1,32
Ogerpon,55565273,104447860,Mega Regigigas,986.0,Ogerpon,Ogerpon,1,0,165
Ogerpon,55565273,104445701,低消650元任你吃啊,898.4,Grimmsnarl+Froslass,Grimmsnarl,1,1,190
Ogerpon,55565273,104437275,today,822.0,Grimmsnarl+Froslass,Grimmsnarl,1,1,138
Ogerpon,55565273,104425734,jiatu.l,932.5,Grimmsnarl+Froslass,Grimmsnarl,1,1,168
Ogerpon,55565273,104421386,Seasaw,930.9,(other),other,1,1,142
Ogerpon,55565273,104408856,Team,985.6,Grimmsnarl+Froslass,Grimmsnarl,0,0,114
Ogerpon,55565273,104409827,Breaking1800,966.9,Ogerpon,Ogerpon,1,0,139
Ogerpon,55565273,104398344,Francisco Stahl,473.7,Alakazam,Alakazam,1,1,181
Ogerpon,55565273,104386795,Pathetic384,895.0,Ogerpon,Ogerpon,0,0,165
Ogerpon,55565273,104374768,Danik Hollatz,380.6,(other),other,1,1,56
Ogerpon,55565273,104363170,Arti-fish-ial Intelligence,875.9,Grimmsnarl+Froslass,Grimmsnarl,1,0,151
Ogerpon,55565273,104351622,Yaro Perventsev,790.5,Grimmsnarl+Froslass,Grimmsnarl,1,1,133
Ogerpon,55565273,104340090,Deck.csv,860.8,Alakazam,Alakazam,0,0,128
Ogerpon,55565273,104337540,zhangsan1224789,898.4,Grimmsnarl+Froslass,Grimmsnarl,0,0,148
Ogerpon,55565273,104332309,Aleix López,824.7,Grimmsnarl+Froslass,Grimmsnarl,1,1,167
Ogerpon,55565273,104320768,btk15049,857.5,Grimmsnarl+Froslass,Grimmsnarl,1,0,141
Ogerpon,55565273,104314456,Murat Kolic,822.8,Grimmsnarl+Froslass,Grimmsnarl,0,1,173
Ogerpon,55565273,104310828,kigasudayooo,904.1,Alakazam,Alakazam,0,0,127
Ogerpon,55565273,104310019,static,814.5,Grimmsnarl+Froslass,Grimmsnarl,1,1,145
Ogerpon,55565273,104298430,Masatoshi Hidaka,923.8,Grimmsnarl+Froslass,Grimmsnarl,1,1,193
Ogerpon,55565273,104291055,Victor @ Tufa Labs,840.9,Grimmsnarl+Froslass,Grimmsnarl,1,1,206
Ogerpon,55565273,104289696,Ohm Mingrath,804.5,Grimmsnarl+Froslass,Grimmsnarl,1,0,157
Ogerpon,55565273,104284605,cm391,944.2,(other),other,0,1,56
Ogerpon,55565273,104281861,皮卡西@北京乐一,900.8,Ogerpon,Ogerpon,0,0,113
Ogerpon,55565273,104276321,Bulba-Zero,854.3,Grimmsnarl+Froslass,Grimmsnarl,1,1,178
Ogerpon,55565273,104264661,Komil Parmar,965.0,Froslass+Lopunny,Lopunny,0,1,73
Ogerpon,55565273,104264717,Team Rocket,932.7,Froslass+Lopunny,Lopunny,0,1,188
Ogerpon,55565273,104259455,Yan,888.9,Ogerpon,Ogerpon,0,1,151
Ogerpon,55565273,104247394,Foo,834.0,Grimmsnarl+Froslass,Grimmsnarl,1,1,163
Ogerpon,55565273,104235774,fujiborozoukin,839.3,Lucario,Lucario,0,0,107
Ogerpon,55565273,104231759,Nicolas Gomasjaya,884.5,Grimmsnarl+Froslass,Grimmsnarl,1,1,128
Ogerpon,55565273,104226268,AlphaMon,865.3,Grimmsnarl+Froslass,Grimmsnarl,1,1,168
Ogerpon,55565273,104224356,Aleix López,824.7,Grimmsnarl+Froslass,Grimmsnarl,1,0,26
Ogerpon,55565273,104225342,Castian Hans,860.8,Grimmsnarl+Froslass,Grimmsnarl,0,1,66
Ogerpon,55565273,104218387,Funky,999.2,Dragapult,Dragapult,0,0,177
Ogerpon,55565273,104211521,soyukke,948.2,Dragapult,Dragapult,0,1,190
Ogerpon,55565273,104199855,yalee,,Dragapult,Dragapult,0,0,108
Ogerpon,55565273,104195794,黒田彩人,867.7,Dragapult,Dragapult,0,0,225
Ogerpon,55565273,104195120,Masaruto,922.3,Ogerpon,Ogerpon,0,0,106
Ogerpon,55565273,104184877,Rojiomote,866.7,Dragapult,Dragapult,1,0,181
Ogerpon,55565273,104173272,Jeryos,927.4,Kangaskhan,Kangaskhan,0,0,137
Ogerpon,55565273,104161706,haruto,942.5,Alakazam,Alakazam,1,0,171
Ogerpon,55565273,104158018,warabimochi-king,872.6,Alakazam,Alakazam,0,1,101
Ogerpon,55565273,104146168,zcy,918.9,Ogerpon,Ogerpon,1,0,145
Ogerpon,55565273,104134536,Rare Candy Lab 🍬,923.3,Kangaskhan+Ogerpon,Kangaskhan,0,0,126
Ogerpon,55565273,104133337,Dreamer,880.1,Dragapult,Dragapult,1,1,229
Ogerpon,55565273,104133514,UBI=ISHI,877.1,Ogerpon,Ogerpon,1,0,124
Ogerpon,55565273,104128046,h_noson,877.7,Grimmsnarl+Froslass,Grimmsnarl,1,0,178
Ogerpon,55565273,104115936,KatR,999.2,Ogerpon,Ogerpon,0,0,117
Ogerpon,55565273,104115692,JZ,980.2,Grimmsnarl+Froslass,Grimmsnarl,1,0,164
Ogerpon,55565273,104104147,motemen,933.7,Alakazam,Alakazam,0,0,162
Ogerpon,55565273,104092527,Yudai Ueno,927.1,Grimmsnarl+Froslass,Grimmsnarl,1,1,153
Ogerpon,55565273,104087671,Sanyam Jain,775.6,Lucario,Lucario,0,1,135
Ogerpon,55565273,104088207,lollipop947,983.6,Froslass+Lopunny,Lopunny,0,0,157
Ogerpon,55565273,104075661,wen chung yu,858.8,Grimmsnarl+Froslass,Grimmsnarl,0,0,150
Ogerpon,55565273,104065879,Sophie555,829.2,Grimmsnarl+Froslass,Grimmsnarl,1,0,170
Ogerpon,55565273,104066816,yuji y,911.9,Grimmsnarl+Froslass,Grimmsnarl,1,0,161
Ogerpon,55565273,104055226,Yanxi Jiang,830.0,Grimmsnarl+Froslass,Grimmsnarl,1,1,183
Ogerpon,55565273,104047545,chris,966.3,Grimmsnarl+Froslass,Grimmsnarl,1,0,189
Ogerpon,55565273,104046432,Orin,894.9,Garchomp,Garchomp,0,1,134
Ogerpon,55565273,104039400,Ken_Ken_Pa,838.3,Alakazam,Alakazam,0,0,163
Ogerpon,55565273,104039183,gosu.Kouts,555.7,Starmie+Cinderace,other,1,0,131
Ogerpon,55565273,104027599,Civitasmass,888.6,Grimmsnarl+Froslass,Grimmsnarl,1,1,160
Ogerpon,55565273,104023828,BlueBuild4,812.0,Grimmsnarl+Froslass,Grimmsnarl,1,1,150
Ogerpon,55565273,104012273,sobameshi,929.2,Ogerpon,Ogerpon,1,0,175
Ogerpon,55565273,104005121,tyffee,932.2,Alakazam,Alakazam,0,0,116
Ogerpon,55565273,103997172,Olegolas1,795.3,Garchomp,Garchomp,1,0,140
Ogerpon,55565273,103985647,Let's PK,887.7,Grimmsnarl+Froslass,Grimmsnarl,1,1,145
Ogerpon,55565273,103974072,silver medal hot pursuit,719.9,Grimmsnarl+Froslass,Grimmsnarl,1,1,180
Ogerpon,55565273,103961634,那个男人,953.0,Dragapult,Dragapult,0,0,177
Ogerpon,55565273,103962041,Pikachu Algorithm,812.1,Alakazam,Alakazam,0,0,114
Ogerpon,55565273,103955960,Surya Bhattiprol,846.7,Grimmsnarl+Froslass,Grimmsnarl,1,0,164
Ogerpon,55565273,103942649,Pokopia,972.8,Grimmsnarl+Froslass,Grimmsnarl,1,0,167
Ogerpon,55565273,103943987,tangai1,921.6,Grimmsnarl+Froslass,Grimmsnarl,0,1,93
Ogerpon,55565273,103932391,AReg,944.5,Alakazam,Alakazam,0,1,61
Ogerpon,55565273,103920869,Yoshihiko Suzuki,864.9,Froslass+Lopunny,Lopunny,1,0,162
Ogerpon,55565273,103909299,Maciej Sypetkowski,928.1,Grimmsnarl+Froslass,Grimmsnarl,0,1,115
Ogerpon,55565273,103897230,Misaka Mikoto,792.7,Alakazam,Alakazam,1,0,178
Ogerpon,55565273,103885557,Teolian,886.6,Ogerpon,Ogerpon,1,0,100
Ogerpon,55565273,103873978,Yu Bo yuan,832.5,Grimmsnarl+Froslass,Grimmsnarl,1,1,104
Ogerpon,55565273,103866694,RtoABC,1008.9,Dragapult,Dragapult,0,0,174
Ogerpon,55565273,103860458,qb,994.3,Froslass+Lopunny,Lopunny,0,1,154
Ogerpon,55565273,103860446,Samuel Sundararaman ,915.9,Kangaskhan+Ogerpon,Kangaskhan,0,1,133
Ogerpon,55565273,103848757,Leonardo Viola10,900.4,Grimmsnarl,Grimmsnarl,1,1,148
Ogerpon,55565273,103848852,AMOONGUSS,915.0,Kangaskhan,Kangaskhan,0,0,148
Ogerpon,55565273,103836979,control the variance,934.9,Alakazam,Alakazam,0,0,123
Ogerpon,55565273,103835633,AdrianWang2003,895.9,Alakazam,Alakazam,1,0,139
